🔥[三网]央卫视直播,#genre#
CCTV-1综合高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd,https://epg.112114.xyz/logo/CCTV-1综合高清.png
CCTV-2财经高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd,https://epg.112114.xyz/logo/CCTV-2财经高清.png
CCTV-3综艺高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd,https://epg.112114.xyz/logo/CCTV-3综艺高清.png
CCTV-4中文国际高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd,https://epg.112114.xyz/logo/CCTV-4中文国际高清.png
CCTV-5体育高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd,https://epg.112114.xyz/logo/CCTV-5体育高清.png
CCTV-5+体育赛事,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5p,https://epg.112114.xyz/logo/CCTV-5+体育赛事.png
CCTV-6电影高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd,https://epg.112114.xyz/logo/CCTV-6电影高清.png
CCTV-7国防军事高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd,https://epg.112114.xyz/logo/CCTV-7国防军事高清.png
CCTV-8电视剧高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8hd,https://epg.112114.xyz/logo/CCTV-8电视剧高清.png
CCTV-9纪录高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd,https://epg.112114.xyz/logo/CCTV-9纪录高清.png
CCTV-10科教高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv10hd,https://epg.112114.xyz/logo/CCTV-10科教高清.png
CCTV-11戏曲高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv11hd,https://epg.112114.xyz/logo/CCTV-11戏曲高清.png
CCTV-12社会与法高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv12hd,https://epg.112114.xyz/logo/CCTV-12社会与法高清.png
CCTV-13新闻高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv13hd,https://epg.112114.xyz/logo/CCTV-13新闻高清.png
CCTV-14少儿高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv14hd,https://epg.112114.xyz/logo/CCTV-14少儿高清.png
CCTV-15音乐高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv15hd,https://epg.112114.xyz/logo/CCTV-15音乐高清.png
CCTV-16奥林匹克高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv16hd,https://epg.112114.xyz/logo/CCTV-16奥林匹克高清.png
CCTV-17农业农村高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv17hd,https://epg.112114.xyz/logo/CCTV-17农业农村高清.png
湖南卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hnwshd,https://epg.112114.xyz/logo/湖南卫视高清.png
东方卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dfwshd,https://epg.112114.xyz/logo/东方卫视高清.png
浙江卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=zjwshd,https://epg.112114.xyz/logo/浙江卫视高清.png
江苏卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jswshd,https://epg.112114.xyz/logo/江苏卫视高清.png
湖北卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hbwshd,https://epg.112114.xyz/logo/湖北卫视高清.png
甘肃卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gswshd,https://epg.112114.xyz/logo/甘肃卫视高清.png
吉林卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jlwshd,https://epg.112114.xyz/logo/吉林卫视高清.png
云南卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ynwshd,https://epg.112114.xyz/logo/云南卫视高清.png
广东卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gdwshd,https://epg.112114.xyz/logo/广东卫视高清.png
深圳卫视高清,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=szwshd,https://epg.112114.xyz/logo/深圳卫视高清.png
宁夏卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nxss,https://epg.112114.xyz/logo/宁夏卫视.png
湖北卫视,http://61.184.46.85:85/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信,https://epg.112114.xyz/logo/湖北卫视.png
湖南卫视,http://61.184.46.85:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信,https://epg.112114.xyz/logo/湖南卫视.png
广东卫视,http://61.184.46.85:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信,https://epg.112114.xyz/logo/广东卫视.png
深圳卫视,http://61.184.46.85:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信,https://epg.112114.xyz/logo/深圳卫视.png
江苏卫视,http://61.184.46.85:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$荆州电信,https://epg.112114.xyz/logo/江苏卫视.png
